,Author_encoded,CoAuthor_encoded
0,0,1
1,0,21
2,0,22
3,0,23
4,0,24
5,0,8
6,0,25
7,0,26
8,0,2
9,0,3
10,0,27
11,0,28
12,0,29
13,0,30
14,0,31
15,0,32
16,0,33
17,0,6
18,0,34
19,0,35
20,0,36
21,0,37
22,0,38
23,0,39
24,0,40
25,0,41
26,0,20
27,0,42
28,0,43
29,0,4
30,0,44
31,0,45
32,1,0
33,1,21
34,1,41
35,1,33
36,1,3
37,1,46
38,1,47
39,2,6
40,2,48
41,2,49
42,2,50
43,2,51
44,2,52
45,3,0
46,3,4
47,3,1
48,3,24
49,3,53
50,3,6
51,3,21
52,3,2
53,3,7
54,3,54
55,4,55
56,4,56
57,5,57
58,5,58
59,5,59
60,5,60
61,5,61
62,5,62
63,5,63
64,5,64
65,5,65
66,5,66
67,5,67
68,5,68
69,5,69
70,5,70
71,5,71
72,5,72
73,5,73
74,5,74
75,5,75
76,5,76
77,5,77
78,5,78
79,5,79
80,5,80
81,5,81
82,5,82
83,5,83
84,5,84
85,5,85
86,5,86
87,5,87
88,5,88
89,5,89
90,6,2
91,6,90
92,6,48
93,6,50
94,6,91
95,6,92
96,6,93
97,6,53
98,6,0
99,6,49
100,6,94
101,6,95
102,6,96
103,6,97
104,6,98
105,6,99
106,6,100
107,6,101
108,6,102
109,6,3
110,6,24
111,6,103
112,6,104
113,6,105
114,6,106
115,6,107
116,6,108
117,6,109
118,6,110
119,7,111
120,7,112
121,7,2
122,7,113
123,7,114
124,7,115
125,7,116
126,7,117
127,7,118
128,7,119
129,7,120
130,7,121
131,7,122
132,7,123
133,7,124
134,8,0
135,8,1
136,8,30
137,8,31
138,8,25
139,8,21
140,9,125
141,9,126
142,9,127
143,9,11
144,10,128
145,10,6
146,10,0
147,10,4
148,10,3
149,11,126
150,11,127
151,11,9
152,12,0
153,12,24
154,13,129
155,13,130
156,13,131
157,13,14
158,13,132
159,13,133
160,13,134
161,13,135
162,13,136
163,13,137
164,13,138
165,13,139
166,13,140
167,13,141
168,13,54
169,13,142
170,13,143
171,13,144
172,13,145
173,13,53
174,13,146
175,13,147
176,13,148
177,13,149
178,13,150
179,13,2
180,13,151
181,13,4
182,13,152
183,13,21
184,13,153
185,13,154
186,13,155
187,13,156
188,13,157
189,14,13
190,14,138
191,14,129
192,14,53
193,15,158
194,15,24
195,15,159
196,15,160
197,15,125
198,15,161
199,15,51
200,15,162
201,15,163
202,15,164
203,16,138
204,16,165
205,16,130
206,16,133
207,16,166
208,16,167
209,17,168
210,17,169
211,17,170
212,17,171
213,17,172
214,17,173
215,18,174
216,18,175
217,18,176
218,18,177
219,18,178
220,18,179
221,18,180
222,18,181
223,18,182
224,18,21
225,19,183
226,19,184
227,19,185
228,19,186
229,19,187
230,19,188
231,19,189
232,19,190
233,20,191
234,20,192
235,20,158
236,20,193
237,20,194
238,20,195
239,20,196
240,20,197
